ID,Time,Illuminance,instant_motion_detect,10s_motion_detect
3,2023-12-18T13:17:40,67,0,0
3,2023-12-18T13:17:50,67,0,0
3,2023-12-18T13:18:00,67,0,0
3,2023-12-18T13:18:10,67,0,0
3,2023-12-18T13:18:20,67,0,0
3,2023-12-18T13:18:30,75,0,0
3,2023-12-18T13:18:40,67,0,0
3,2023-12-18T13:18:50,67,0,0
3,2023-12-18T13:19:00,75,0,0
3,2023-12-18T13:19:10,67,0,0
3,2023-12-18T13:19:20,67,0,0
3,2023-12-18T13:19:32,67,0,0
3,2023-12-18T13:19:42,75,0,0
3,2023-12-18T13:19:52,61,1,1
0,2023-12-18T13:20:02,412,1,1
3,2023-12-18T13:20:13,62,0,0
3,2023-12-18T13:20:23,67,1,1
3,2023-12-18T13:20:33,64,0,0
3,2023-12-18T13:20:43,62,0,0
3,2023-12-18T13:20:54,61,0,0
3,2023-12-18T13:21:04,61,0,0
3,2023-12-18T13:21:14,61,0,0
3,2023-12-18T13:21:24,63,0,0
3,2023-12-18T13:21:34,63,0,0
3,2023-12-18T13:21:44,61,0,0
3,2023-12-18T13:21:54,64,0,0
3,2023-12-18T13:22:04,43,1,1
3,2023-12-18T13:22:14,72,0,0
3,2023-12-18T13:22:25,61,0,0
3,2023-12-18T13:22:35,63,0,0
3,2023-12-18T13:22:45,63,0,0
3,2023-12-18T13:22:55,63,0,0
3,2023-12-18T13:23:05,61,0,0
3,2023-12-18T13:23:15,63,0,0
3,2023-12-18T13:23:25,70,0,0
3,2023-12-18T13:23:36,61,0,0
3,2023-12-18T13:23:46,61,0,0
3,2023-12-18T13:23:56,62,0,0
3,2023-12-18T13:24:06,61,1,1
3,2023-12-18T13:24:16,27,1,1
3,2023-12-18T13:24:30,25,1,1
3,2023-12-18T13:24:44,37,0,0
3,2023-12-18T13:24:57,37,1,1
3,2023-12-18T13:25:07,52,1,1
3,2023-12-18T13:25:17,52,1,1
3,2023-12-18T13:25:27,61,0,0
3,2023-12-18T13:25:38,62,0,0
3,2023-12-18T13:25:48,61,0,0
3,2023-12-18T13:25:58,62,0,0
3,2023-12-18T13:26:08,61,0,0
3,2023-12-18T13:26:18,61,0,0
3,2023-12-18T13:26:28,61,0,0
3,2023-12-18T13:26:38,62,0,0
3,2023-12-18T13:26:48,61,0,0
3,2023-12-18T13:26:59,61,0,0
3,2023-12-18T13:27:09,61,0,0
3,2023-12-18T13:27:19,63,0,0
3,2023-12-18T13:27:29,61,0,0
3,2023-12-18T13:27:39,61,0,0
3,2023-12-18T13:27:49,61,0,0
3,2023-12-18T13:27:59,62,0,0
3,2023-12-18T13:28:09,70,0,0
3,2023-12-18T13:28:19,61,0,0
3,2023-12-18T13:28:30,61,0,0
3,2023-12-18T13:28:40,61,0,0
3,2023-12-18T13:28:50,61,0,0
3,2023-12-18T13:29:00,62,0,0
3,2023-12-18T13:29:10,62,0,0
3,2023-12-18T13:29:20,61,0,0
3,2023-12-18T13:29:30,61,0,0
3,2023-12-18T13:29:40,61,0,0
3,2023-12-18T13:29:50,62,0,0
3,2023-12-18T13:30:01,67,0,0
3,2023-12-18T13:30:11,62,0,0
3,2023-12-18T13:30:21,63,0,0
3,2023-12-18T13:30:31,61,0,0
3,2023-12-18T13:30:41,61,0,0
3,2023-12-18T13:30:51,62,0,0
3,2023-12-18T13:31:01,64,0,0
3,2023-12-18T13:31:11,61,0,0
3,2023-12-18T13:31:21,61,0,0
3,2023-12-18T13:31:31,61,0,0
3,2023-12-18T13:31:42,61,0,0
3,2023-12-18T13:31:52,61,0,0
3,2023-12-18T13:32:02,61,0,0
3,2023-12-18T13:32:12,70,0,0
3,2023-12-18T13:32:22,70,0,0
3,2023-12-18T13:32:32,61,0,0
3,2023-12-18T13:32:42,61,0,0
3,2023-12-18T13:32:52,63,0,0
3,2023-12-18T13:33:02,61,0,0
3,2023-12-18T13:33:12,61,0,0
3,2023-12-18T13:33:23,61,0,0
3,2023-12-18T13:33:33,62,0,0
3,2023-12-18T13:33:43,61,0,0
3,2023-12-18T13:33:53,61,0,0
3,2023-12-18T13:34:03,61,0,0
3,2023-12-18T13:34:13,61,0,0
3,2023-12-18T13:34:23,62,0,0
3,2023-12-18T13:34:33,63,0,0
3,2023-12-18T13:34:43,70,0,0
3,2023-12-18T13:34:53,61,0,0
3,2023-12-18T13:35:04,61,0,0
3,2023-12-18T13:35:14,61,0,0
3,2023-12-18T13:35:24,61,0,0
3,2023-12-18T13:35:34,70,0,0
3,2023-12-18T13:35:44,61,0,0
3,2023-12-18T13:35:54,57,0,0
3,2023-12-18T13:36:04,62,0,0
3,2023-12-18T13:36:14,62,0,0
3,2023-12-18T13:36:24,70,0,0
3,2023-12-18T13:36:34,61,0,0
3,2023-12-18T13:36:45,61,0,0
3,2023-12-18T13:36:55,72,0,0
3,2023-12-18T13:37:05,61,0,0
3,2023-12-18T13:37:15,62,0,0
3,2023-12-18T13:37:25,61,0,0
3,2023-12-18T13:37:35,70,0,0
3,2023-12-18T13:37:45,61,0,0
3,2023-12-18T13:37:55,62,0,0
3,2023-12-18T13:38:06,61,0,0
3,2023-12-18T13:38:16,62,0,0
3,2023-12-18T13:38:26,61,0,0
3,2023-12-18T13:38:36,61,0,0
3,2023-12-18T13:38:46,61,0,0
3,2023-12-18T13:38:56,62,0,0
3,2023-12-18T13:39:06,61,0,0
3,2023-12-18T13:39:16,61,0,0
3,2023-12-18T13:39:26,61,0,0
3,2023-12-18T13:39:36,61,0,0
3,2023-12-18T13:39:47,63,0,0
3,2023-12-18T13:39:57,61,0,0
3,2023-12-18T13:40:07,63,0,0
3,2023-12-18T13:40:17,72,0,0
3,2023-12-18T13:40:27,62,0,0
3,2023-12-18T13:40:37,61,0,0
3,2023-12-18T13:40:47,62,0,0
3,2023-12-18T13:40:57,61,0,0
3,2023-12-18T13:41:07,61,0,0
3,2023-12-18T13:41:17,62,0,0
3,2023-12-18T13:41:28,62,0,0
3,2023-12-18T13:41:38,70,0,0
3,2023-12-18T13:41:48,63,0,0
3,2023-12-18T13:41:58,70,0,0
3,2023-12-18T13:42:08,61,1,1
3,2023-12-18T13:42:18,61,0,0
3,2023-12-18T13:42:28,64,0,0
3,2023-12-18T13:42:38,62,0,0
3,2023-12-18T13:42:48,61,0,0
3,2023-12-18T13:42:58,61,0,0
3,2023-12-18T13:43:09,61,0,0
3,2023-12-18T13:43:19,61,0,0
3,2023-12-18T13:43:30,64,0,0
3,2023-12-18T13:43:40,56,1,1
3,2023-12-18T13:43:50,54,0,0
3,2023-12-18T13:44:00,54,0,0
3,2023-12-18T13:44:13,54,0,0
3,2023-12-18T13:44:23,54,0,0
3,2023-12-18T13:44:47,54,0,0
3,2023-12-18T13:44:58,54,0,0
3,2023-12-18T13:45:08,54,0,0
3,2023-12-18T13:45:18,54,0,0
3,2023-12-18T13:45:28,61,0,0
3,2023-12-18T13:45:38,54,0,0
