ID,Time,Illuminance,instant_motion_detect,10s_motion_detect
0,2023-12-12T14:31:30,101,1,1
0,2023-12-12T14:31:40,109,0,0
0,2023-12-12T14:33:08,119,1,1
0,2023-12-12T14:33:18,570,0,0
0,2023-12-12T14:34:10,534,1,1
0,2023-12-12T14:34:23,531,0,0
3,2023-12-12T14:34:33,578,1,1
3,2023-12-12T14:34:43,584,0,0
3,2023-12-12T14:34:56,526,0,0
3,2023-12-12T14:35:09,595,0,0
3,2023-12-12T14:35:22,541,1,1
3,2023-12-12T14:35:33,525,0,0
3,2023-12-12T14:35:44,535,1,1
3,2023-12-12T14:36:09,546,0,0
3,2023-12-12T14:36:19,549,0,0
3,2023-12-12T14:36:29,540,0,0
3,2023-12-12T14:36:40,463,1,1
3,2023-12-12T14:36:50,402,0,0
3,2023-12-12T14:37:00,506,1,1
3,2023-12-12T14:37:10,461,1,1
3,2023-12-12T14:37:20,460,0,0
3,2023-12-12T14:37:30,484,0,0
3,2023-12-12T14:37:41,494,0,0
3,2023-12-12T14:37:51,473,0,0
3,2023-12-12T14:38:01,516,0,0
3,2023-12-12T14:38:11,479,0,0
3,2023-12-12T14:38:21,499,0,0
3,2023-12-12T14:38:31,534,0,0
3,2023-12-12T14:38:41,499,0,0
3,2023-12-12T14:38:52,496,0,0
3,2023-12-12T14:39:02,499,0,0
3,2023-12-12T14:39:12,491,0,0
3,2023-12-12T14:39:22,491,1,1
3,2023-12-12T14:39:32,479,0,0
3,2023-12-12T14:39:42,443,0,0
3,2023-12-12T14:39:52,503,0,0
3,2023-12-12T14:40:02,473,1,1
3,2023-12-12T14:40:12,489,1,1
3,2023-12-12T14:40:23,445,0,0
3,2023-12-12T14:40:33,469,0,0
3,2023-12-12T14:40:43,473,1,1
3,2023-12-12T14:40:53,447,0,0
3,2023-12-12T14:41:03,434,0,0
3,2023-12-12T14:41:13,508,0,0
3,2023-12-12T14:41:24,459,1,1
3,2023-12-12T14:41:37,494,0,0
